group	artifact	version	license	binary_files
androidx.datastore	datastore-preferences-android	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-preferences-android-1.1.7.aar,datastore-preferences-release.aar
androidx.datastore	datastore-preferences-core	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.datastore	datastore-preferences-core-android	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-preferences-core-android-1.1.7.aar,datastore-preferences-core-release.aar
androidx.datastore	datastore-preferences-external-protobuf	1.1.7	BSD-3-Clause (https://opensource.org/licenses/BSD-3-Clause)	datastore-preferences-external-protobuf-1.1.7.jar
androidx.datastore	datastore-preferences-proto	1.1.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	datastore-preferences-proto-1.1.7.jar
androidx.documentfile	documentfile	1.0.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	documentfile-1.0.1.aar
androidx.drawerlayout	drawerlayout	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	drawerlayout-1.0.0.aar
androidx.emoji2	emoji2	1.2.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.emoji2	emoji2	1.3.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	emoji2-1.3.0.aar
androidx.exifinterface	exifinterface	1.3.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	exifinterface-1.3.7.aar
androidx.fragment	fragment	1.2.5	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	fragment-1.2.5.aar
androidx.glance	glance	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-1.1.1.aar
androidx.glance	glance-appwidget	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-appwidget-1.1.1.aar
androidx.glance	glance-appwidget-external-protobuf	1.1.1	BSD-3-Clause (https://opensource.org/licenses/BSD-3-Clause)	glance-appwidget-external-protobuf-1.1.1.jar
androidx.glance	glance-appwidget-proto	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-appwidget-proto-1.1.1.jar
androidx.glance	glance-appwidget-testing	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-appwidget-testing-1.1.1.aar
androidx.glance	glance-material3	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-material3-1.1.1.aar
androidx.glance	glance-testing	1.1.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	glance-testing-1.1.1.aar
androidx.graphics	graphics-path	1.0.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	graphics-path-1.0.1.aar
androidx.interpolator	interpolator	1.0.0	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	interpolator-1.0.0.aar
androidx.lifecycle	lifecycle-common	2.3.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-common-2.3.1.jar
androidx.lifecycle	lifecycle-common	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-common	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-common	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-common-java8	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-common-java8	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-common-java8-2.8.3.jar
androidx.lifecycle	lifecycle-common-java8	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-common-java8-2.8.7.jar
androidx.lifecycle	lifecycle-common-jvm	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-common-jvm-2.8.3.jar
androidx.lifecycle	lifecycle-common-jvm	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-common-jvm-2.8.7.jar
androidx.lifecycle	lifecycle-livedata	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-livedata-2.8.7.aar
androidx.lifecycle	lifecycle-livedata-core	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-livedata-core-2.8.3.aar
androidx.lifecycle	lifecycle-livedata-core	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-livedata-core-2.8.7.aar
androidx.lifecycle	lifecycle-livedata-core-ktx	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-livedata-core-ktx-2.8.7.aar
androidx.lifecycle	lifecycle-process	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-process	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-process-2.8.3.aar
androidx.lifecycle	lifecycle-process	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-process-2.8.7.aar
androidx.lifecycle	lifecycle-runtime	2.3.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-2.3.1.aar
androidx.lifecycle	lifecycle-runtime	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-android	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-android-2.8.3.aar,lifecycle-runtime-release.aar
androidx.lifecycle	lifecycle-runtime-android	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-android-2.8.7.aar,lifecycle-runtime-release.aar
androidx.lifecycle	lifecycle-runtime-compose	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-compose	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-compose-android	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-compose-android-2.8.3.aar,lifecycle-runtime-compose-release.aar
androidx.lifecycle	lifecycle-runtime-compose-android	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-compose-android-2.8.7.aar,lifecycle-runtime-compose-release.aar
androidx.lifecycle	lifecycle-runtime-ktx	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-ktx	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-ktx	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-ktx-android	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-ktx-android-2.8.3.aar,lifecycle-runtime-ktx-release.aar
androidx.lifecycle	lifecycle-runtime-ktx-android	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-ktx-android-2.8.7.aar,lifecycle-runtime-ktx-release.aar
androidx.lifecycle	lifecycle-runtime-testing	2.3.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-runtime-testing	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-runtime-testing-2.8.7.aar
androidx.lifecycle	lifecycle-service	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-service-2.8.7.aar
androidx.lifecycle	lifecycle-viewmodel	2.6.1	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-viewmodel	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
androidx.lifecycle	lifecycle-viewmodel	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-viewmodel-2.8.7.aar
androidx.lifecycle	lifecycle-viewmodel-android	2.8.3	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-viewmodel-android-2.8.3.aar,lifecycle-viewmodel-release.aar
androidx.lifecycle	lifecycle-viewmodel-android	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	lifecycle-viewmodel-android-2.8.7.aar,lifecycle-viewmodel-release.aar
androidx.lifecycle	lifecycle-viewmodel-compose	2.8.7	The Apache Software License, Version 2.0 (http://www.apache.org/licenses/LICENSE-2.0.txt)	
